Id,Category
000,0
001,2
002,4
003,2
004,0
005,0
006,2
007,3
008,2
009,0
010,0
011,2
012,3
013,2
014,2
015,2
016,0
017,2
018,0
019,2
020,0
021,3
022,2
023,4
024,2
025,0
026,0
027,2
028,2
029,2
030,0
031,2
032,0
033,0
034,2
035,0
036,2
037,4
038,3
039,0
040,4
041,2
042,2
043,2
044,2
045,2
046,0
047,0
048,5
049,2
050,1
051,0
052,0
053,5
054,3
055,2
056,2
057,0
058,2
059,4
060,2
061,3
062,2
063,2
064,3
065,2
066,2
067,5
068,2
069,2
070,0
071,2
072,0
073,0
074,5
075,0
076,0
077,0
078,0
079,1
080,0
081,3
082,5
083,2
084,5
085,0
086,2
087,0
088,2
089,4
090,2
091,2
092,2
093,2
094,5
095,2
096,2
097,5
098,3
099,2
100,2
101,0
102,3
103,1
104,2
105,3
106,2
107,2
108,0
109,2
110,0
111,3
112,2
113,2
114,0
115,2
116,0
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,4
126,0
127,0
128,0
129,2
130,0
131,5
132,2
133,2
134,2
135,0
136,2
137,0
138,3
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,3
147,2
148,0
149,2
150,2
151,2
152,0
153,2
154,3
155,2
156,2
157,0
158,1
159,1
160,2
161,2
162,2
163,0
164,2
165,0
166,0
167,2
168,2
169,2
170,2
171,2
172,3
173,2
174,0
175,2
176,2
177,0
178,2
179,0
180,4
181,2
182,2
183,2
184,3
185,4
186,3
187,2
188,2
189,2
190,2
191,2
192,0
193,3
194,0
195,1
196,0
197,1
198,3
199,2
200,2
201,5
202,2
203,2
204,2
205,0
206,4
207,0
208,2
209,2
210,0
211,2
212,0
213,4
214,2
215,2
216,2
217,2
218,2
219,3
220,0
221,2
222,0
223,0
224,1
225,0
226,2
227,2
228,2
229,1
230,2
231,3
232,2
233,0
234,0
235,3
236,4
237,2
238,0
239,2
240,0
241,0
242,2
243,2
244,0
245,1
246,2
247,3
248,2
249,2
250,2
251,0
252,2
253,0
254,2
255,3
256,3
257,4
258,0
259,4
260,2
261,2
262,5
263,0
264,0
265,0
266,0
267,1
268,2
269,2
270,2
271,2
272,2
273,1
274,5
275,0
276,0
277,5
278,4
279,0
280,0
281,2
282,2
283,0
284,2
285,2
286,4
287,5
288,2
289,4
290,2
291,0
292,5
293,3
294,2
295,2
296,2
297,0
298,2
299,4
300,2
301,2
302,3
303,2
304,2
305,2
306,0
307,2
308,0
309,2
310,2
311,2
312,2
313,2
314,4
315,0
316,2
317,2
318,2
319,4
320,2
321,0
322,5
323,4
324,0
325,1
326,0
327,2
328,2
329,4
330,2
331,1
332,2
333,4
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,4
343,1
344,4
345,2
346,2
347,2
348,0
349,2
350,0
351,0
352,2
353,2
354,1
355,2
356,0
357,0
358,2
359,2
360,0
361,2
362,0
363,4
364,1
365,2
366,4
367,2
368,0
369,2
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,2
381,0
382,2
383,4
384,0
385,2
386,2
387,2
388,2
389,0
390,2
391,2
392,0
393,2
394,2
395,4
396,0
397,2
398,2
399,2
400,0
401,2
402,4
403,0
404,3
405,4
406,2
407,4
408,2
409,2
410,4
411,2
412,2
413,0
414,5
415,2
416,2
417,0
418,2
419,4
420,2
421,2
422,2
423,0
424,2
425,2
426,0
427,2
428,2
429,0
430,1
431,4
432,5
433,5
434,2
435,2
436,2
437,0
438,2
439,0
440,2
441,0
442,5
443,2
444,2
445,2
446,4
447,2
448,2
449,2
450,2
451,0
452,2
453,0
454,2
455,3
456,0
457,2
458,2
459,4
460,0
461,2
462,4
463,4
464,2
465,0
466,2
467,2
468,2
469,3
470,2
471,2
472,2
473,1
474,2
475,2
476,0
477,2
478,0
479,0
480,0
481,2
482,1
483,2
484,2
485,0
486,4
487,2
488,2
489,0
490,0
491,4
492,1
493,3
494,0
495,2
496,0
497,2
498,2
499,2
500,0
501,2
502,2
503,2
504,2
505,0
506,0
507,2
508,4
509,4
510,1
511,0
512,2
513,4
514,2
515,2
516,2
517,0
518,0
519,0
520,2
521,2
522,4
523,3
524,4
525,2
526,2
527,2
528,4
529,2
530,0
531,2
532,0
533,1
534,2
535,2
536,0
537,5
538,0
539,2
540,2
541,3
542,0
543,4
544,2
545,2
546,2
547,2
548,1
549,2
550,5
551,0
552,2
553,0
554,2
555,2
556,2
557,2
558,4
559,3
560,2
561,3
562,0
563,2
564,0
565,2
566,0
567,1
568,2
569,2
570,4
571,2
572,2
573,2
574,2
575,3
576,2
577,1
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,0
586,0
587,0
588,3
589,4
590,4
591,2
592,0
593,5
594,2
595,2
596,2
597,0
598,3
599,2
600,2
601,0
602,0
603,1
604,4
605,1
606,2
607,0
608,2
609,2
610,2
611,5
612,2
613,2
614,0
615,0
616,2
617,0
618,0
619,4
620,0
621,2
622,2
623,2
624,2
625,2
626,2
627,0
628,2
629,1
630,0
631,0
632,2
633,0
634,2
635,2
636,0
637,2
638,1
639,2
640,2
641,2
642,2
643,2
644,4
645,0
646,2
647,2
